sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 17, 2023 10:44:17

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
  +src:ParallelSampleRateConversion                         	 1518(1518)	   367(367)	 1587(1587)	     0(0)	   12(12)	
 +database_0:database                                       	   108(108)	       0(0)	   347(184)	   200(0)	     0(0)	
  +data_ram0:simple_dual_port_ram                           	       0(0)	       0(0)	     30(30)	   40(40)	     0(0)	
  +data_ram1:simple_dual_port_ram                           	       0(0)	       0(0)	     30(30)	   40(40)	     0(0)	
  +data_ram2:simple_dual_port_ram                           	       0(0)	       0(0)	     32(32)	   40(40)	     0(0)	
  +data_ram3:simple_dual_port_ram                           	       0(0)	       0(0)	     30(30)	   40(40)	     0(0)	
  +data_ram4:simple_dual_port_ram                           	       0(0)	       0(0)	     41(41)	   40(40)	     0(0)	
 +u_VsyHsyGenerator:VsyHsyGenerator                         	     38(23)	     26(20)	 1445(1074)	     0(0)	     0(0)	
  +picture:PictureGenerator                                 	     15(10)	       6(6)	   371(334)	     0(0)	     0(0)	
   +rAddr:RAddressGen                                       	       5(5)	       0(0)	     37(37)	     0(0)	     0(0)	
 +u_axi4_ctrl:axi4_ctrl                                     	   439(214)	    103(32)	    196(78)	    24(0)	     0(0)	
  +u_W0_FIFO:W0_FIFO                                        	     118(0)	      43(0)	      59(0)	    16(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_3e6a9a3a292f42bb82f2ab68b2f533aa_renamed_due_excessive_length_2	     118(4)	      43(0)	      59(0)	    16(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_3e6a9a3a292f42bb82f2ab68b2f533aa(MODE="FWFT",WR_DEPTH=4096,WDATA_WIDTH=16,RDATA_WIDTH=128,WADDR_WIDTH=12,OUTPUT_REG=0,RAM_MUX_RATIO=8)	       0(0)	       0(0)	       0(0)	   16(16)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_3e6a9a3a292f42bb82f2ab68b2f533aa_renamed_due_excessive_length_3	    114(74)	     43(43)	     59(23)	     0(0)	     0(0)	
     +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_3e6a9a3a292f42bb82f2ab68b2f533aa(WIDTH=10)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
